hotel_class,name,id,locality,region
3.0,BEST WESTERN PLUS Americania,119625,San Francisco,CA
2.8850684495383634,All Star Hotel,291695,San Francisco,CA
2.5,La Luna Inn,82114,San Francisco,CA
2.0,Vagabond Inn San Francisco (Civic Center),81075,San Francisco,CA
2.0,Hotel Beresford,80836,San Francisco,CA
2.8850684495383634,Red Coach Motor Lodge,1833071,San Francisco,CA
2.0,Grant Plaza Hotel,81004,San Francisco,CA
2.0,Town House,81476,San Francisco,CA
3.0,Hotel Cartwright Union Square,112325,San Francisco,CA
2.0,Civic Center Motor Inn,80879,San Francisco,CA
2.8850684495383634,Stanyan Park Hotel,74059,San Francisco,CA
3.0,Holiday Inn Civic Center (San Francisco),81035,San Francisco,CA
2.5,Hotel Bijou,80920,San Francisco,CA
3.5,Hotel Frank,81418,San Francisco,CA
3.0,The Pickwick Hotel San Francisco,218776,San Francisco,CA
2.8850684495383634,University Club,489082,San Francisco,CA
2.8850684495383634,The Herbert Hotel,80771,San Francisco,CA
2.8850684495383634,Beck's Motor Lodge,112289,San Francisco,CA
3.0,Hotel Mark Twain,141997,San Francisco,CA
2.0,Encore Express Hotel,1134288,San Francisco,CA
2.8850684495383634,Days Inn San Francisco at the Beach,80963,San Francisco,CA
2.0,Bay Bridge Inn,119626,San Francisco,CA
2.0,Days Inn San Francisco Downtown/Civic Center Area,80753,San Francisco,CA
3.0,Mystic Hotel by Charlie Palmer,80823,San Francisco,CA
2.8850684495383634,Seal Rock Inn,81367,San Francisco,CA
2.0,The Grant Hotel,226834,San Francisco,CA
3.5,Hilton San Francisco Fisherman's Wharf,81237,San Francisco,CA
2.0,Nob Hill Motor Inn,81177,San Francisco,CA
2.5,Lombard Motor Inn,119640,San Francisco,CA
3.0,King George Hotel,80786,San Francisco,CA
2.0,The Wharf Inn,81466,San Francisco,CA
2.0,Buena Vista Motor Inn,119593,San Francisco,CA
3.0,The Carriage Inn,80864,San Francisco,CA
3.0,Hotel Fusion,243535,San Francisco,CA
2.0,Touchstone Hotel - City Center,113942,San Francisco,CA
3.0,Holiday Inn San Francisco Fishermans Wharf,81042,San Francisco,CA
4.0,Sheraton Fisherman's Wharf Hotel,81375,San Francisco,CA
